Date,Open,High,Low,Close,Adj Close,Volume
2021-06-21,29.150000,29.730000,29.010000,29.690001,29.690001,7984600
2021-06-22,29.690001,29.700001,29.020000,29.490000,29.490000,6575500
2021-06-23,29.340000,30.070000,29.340000,29.510000,29.510000,9244400
2021-06-24,29.639999,30.360001,29.459999,30.320000,30.320000,6667600
2021-06-25,30.350000,30.980000,30.110001,30.860001,30.860001,6852200
2021-06-28,30.959999,31.309999,30.330000,30.570000,30.570000,5635500
2021-06-29,30.690001,30.860001,30.190001,30.340000,30.340000,3951500
2021-06-30,30.410000,30.790001,29.940001,30.680000,30.680000,5656500
2021-07-01,30.730000,31.879999,30.549999,31.200001,31.200001,7054100
2021-07-02,31.030001,31.670000,30.799999,31.139999,31.139999,4327900
2021-07-06,31.170000,31.170000,30.030001,30.340000,30.340000,4471700
2021-07-07,30.180000,30.350000,29.459999,29.559999,29.559999,5171300
2021-07-08,29.000000,29.250000,28.280001,28.780001,28.780001,6978700
2021-07-09,29.200001,29.480000,28.870001,29.299999,29.299999,4001800
2021-07-12,29.230000,29.719999,28.860001,29.650000,29.650000,3267300
2021-07-13,29.430000,29.730000,28.950001,29.100000,29.100000,6415800
2021-07-14,29.209999,29.330000,28.549999,28.740000,28.740000,5500000
2021-07-15,28.600000,29.160000,28.340000,28.459999,28.459999,5218700
2021-07-16,28.540001,29.080000,28.049999,28.180000,28.180000,6284300
2021-07-19,27.770000,28.209999,27.080000,27.820000,27.820000,7095500
2021-07-20,27.879999,28.219999,27.520000,28.129999,28.129999,3534400
2021-07-21,28.209999,29.049999,28.209999,28.790001,28.790001,4030400
2021-07-22,28.850000,28.930000,27.870001,28.480000,28.480000,4515400
2021-07-23,28.629999,28.680000,27.860001,28.469999,28.469999,3030300
2021-07-26,28.430000,31.400000,28.350000,29.340000,29.340000,16584200
2021-07-27,29.020000,29.580000,28.750000,28.830000,28.830000,6553000
2021-07-28,28.900000,29.930000,27.340000,29.389999,29.389999,15471800
2021-07-29,29.400000,31.000000,29.320000,30.180000,30.180000,9316000
2021-07-30,29.920000,30.160000,28.889999,29.010000,29.010000,4100900
2021-08-02,29.230000,29.590000,28.930000,29.090000,29.090000,4114900
2021-08-03,29.180000,29.280001,26.850000,27.870001,27.870001,13105300
2021-08-04,27.809999,28.580000,27.430000,28.340000,28.340000,6219500
2021-08-05,28.430000,29.400000,28.280001,29.200001,29.200001,4563400
2021-08-06,29.240000,29.719999,28.870001,29.040001,29.040001,6595500
2021-08-09,29.030001,29.309999,28.770000,29.230000,29.230000,2507300
2021-08-10,29.129999,29.500000,28.820000,29.440001,29.440001,4487000
2021-08-11,29.440001,29.610001,29.049999,29.450001,29.450001,2966400
2021-08-12,29.620001,29.730000,28.709999,28.900000,28.900000,3949500
2021-08-13,29.110001,29.209999,28.360001,28.420000,28.420000,3278600
2021-08-16,28.260000,28.730000,27.799999,28.340000,28.340000,5022200
2021-08-17,28.000000,28.670000,27.799999,28.610001,28.610001,3813000
2021-08-18,28.719999,29.230000,28.410000,28.450001,28.450001,4637300
2021-08-19,28.410000,28.430000,27.690001,27.740000,27.740000,5425000
2021-08-20,27.660000,28.129999,27.379999,28.070000,28.070000,4089300
2021-08-23,28.309999,28.690001,28.049999,28.440001,28.440001,3286700
2021-08-24,28.480000,28.959999,28.450001,28.700001,28.700001,3403800
2021-08-25,28.709999,29.080000,28.450001,28.740000,28.740000,2704100
2021-08-26,28.920000,28.930000,27.770000,27.889999,27.889999,4019900
2021-08-27,27.900000,28.379999,27.660000,28.280001,28.280001,4009400
2021-08-30,28.480000,28.480000,27.690001,27.850000,27.850000,3084900
2021-08-31,27.799999,28.969999,27.790001,28.840000,28.840000,5288900
2021-09-01,28.820000,28.920000,28.290001,28.430000,28.430000,3271500
2021-09-02,28.520000,29.040001,28.379999,28.940001,28.940001,3622900
2021-09-03,28.950001,28.950001,28.160000,28.309999,28.309999,3655100
2021-09-07,28.309999,28.740000,27.930000,27.959999,27.959999,3297000
2021-09-08,27.959999,28.240000,26.940001,26.980000,26.980000,5693700
2021-09-09,26.910000,27.219999,26.610001,26.790001,26.790001,4921600
2021-09-10,26.780001,26.889999,26.110001,26.150000,26.150000,6613800
2021-09-13,26.350000,27.120001,26.180000,27.059999,27.059999,5440000
2021-09-14,27.100000,27.100000,25.790001,26.260000,26.260000,9715700
2021-09-15,26.330000,27.049999,26.110001,26.809999,26.809999,7610300
2021-09-16,26.740000,27.200001,26.549999,26.990000,26.990000,4933500
2021-09-17,27.000000,27.410000,26.770000,26.879999,26.879999,7576900
2021-09-20,26.420000,26.440001,25.549999,26.010000,26.010000,8634500
2021-09-21,26.180000,26.450001,24.980000,25.150000,25.150000,8906600
2021-09-22,25.370001,26.129999,25.360001,25.440001,25.440001,6458000
2021-09-23,25.490000,26.049999,25.490000,25.530001,25.530001,4145700
2021-09-24,25.520000,25.680000,25.200001,25.299999,25.299999,5638600
2021-09-27,25.360001,26.520000,25.340000,26.139999,26.139999,5156000
2021-09-28,26.049999,26.469999,25.549999,25.600000,25.600000,3798400
2021-09-29,25.690001,25.870001,25.370001,25.420000,25.420000,3560400
2021-09-30,25.480000,25.570000,24.860001,25.379999,25.379999,5331300
2021-10-01,25.530001,26.010000,25.330000,25.740000,25.740000,3614600
2021-10-04,25.660000,25.830000,25.330000,25.610001,25.610001,6528200
2021-10-05,25.670000,26.379999,25.410000,26.150000,26.150000,5991600
2021-10-06,25.770000,25.910000,25.070000,25.879999,25.879999,7529000
2021-10-07,26.100000,26.809999,25.940001,26.459999,26.459999,6745900
2021-10-08,26.660000,26.990000,25.860001,25.889999,25.889999,3591500
2021-10-11,26.020000,26.100000,25.170000,25.170000,25.170000,4413000
2021-10-12,25.180000,25.469999,24.480000,24.580000,24.580000,7419100
2021-10-13,24.820000,25.540001,24.670000,25.500000,25.500000,7149100
2021-10-14,25.549999,25.740000,25.110001,25.260000,25.260000,4031000
2021-10-15,25.480000,25.600000,24.770000,24.830000,24.830000,5419800
2021-10-18,24.740000,25.209999,24.440001,24.670000,24.670000,5113300
2021-10-19,24.990000,25.209999,24.639999,24.900000,24.900000,6306900
2021-10-20,24.770000,25.700001,24.740000,25.330000,25.330000,5875500
2021-10-21,25.370001,25.969999,24.740000,25.000000,25.000000,6041000
2021-10-22,25.080000,25.270000,24.750000,25.100000,25.100000,3904200
2021-10-25,25.100000,25.559999,25.030001,25.290001,25.290001,5062400
2021-10-26,25.500000,25.540001,24.540001,24.639999,24.639999,5858200
2021-10-27,24.740000,24.760000,23.590000,23.600000,23.600000,7348600
2021-10-28,23.570000,24.340000,23.520000,24.309999,24.309999,4666000
2021-10-29,24.150000,24.250000,23.400000,23.440001,23.440001,5842700
2021-11-01,23.700001,24.700001,23.559999,24.420000,24.420000,6912200
2021-11-02,24.420000,24.799999,23.850000,24.549999,24.549999,10507900
2021-11-03,24.400000,25.780001,23.760000,25.600000,25.600000,11278200
2021-11-04,25.660000,25.840000,24.969999,25.459999,25.459999,6681200
2021-11-05,25.639999,26.600000,25.410000,26.520000,26.520000,6209500
2021-11-08,26.830000,26.990000,26.209999,26.280001,26.280001,6800700
2021-11-09,26.500000,26.780001,25.980000,26.650000,26.650000,4307400
2021-11-10,26.650000,28.059999,26.520000,27.360001,27.360001,7760200
2021-11-11,27.160000,28.980000,26.750000,28.230000,28.230000,12304500
2021-11-12,28.160000,28.700001,27.870001,27.910000,27.910000,5414800
2021-11-15,28.000000,28.879999,27.879999,28.020000,28.020000,4125300
2021-11-16,27.990000,28.020000,27.500000,27.730000,27.730000,4827700
2021-11-17,27.610001,27.850000,27.209999,27.590000,27.590000,4515700
2021-11-18,27.559999,27.600000,26.510000,26.850000,26.850000,5129300
2021-11-19,26.770000,26.820000,24.830000,25.260000,25.260000,11188700
2021-11-22,25.299999,25.930000,24.660000,25.709999,25.709999,5607900
2021-11-23,25.750000,26.160000,25.170000,25.600000,25.600000,6240500
2021-11-24,25.530001,25.559999,25.070000,25.170000,25.170000,3788900
2021-11-26,24.459999,24.820000,24.139999,24.719999,24.719999,3407000
2021-11-29,24.950001,25.049999,24.010000,24.590000,24.590000,5147600
2021-11-30,24.299999,24.340000,22.670000,23.270000,23.270000,11473700
2021-12-01,23.600000,23.930000,22.200001,22.260000,22.260000,10507000
2021-12-02,22.440001,23.389999,22.309999,23.250000,23.250000,8921100
2021-12-03,23.049999,24.030001,23.040001,23.990000,23.990000,9162700
2021-12-06,24.430000,24.910000,23.770000,24.400000,24.400000,6635800
2021-12-07,24.770000,25.270000,24.160000,24.219999,24.219999,5901100
2021-12-08,24.389999,24.889999,23.969999,24.030001,24.030001,4948900
2021-12-09,23.799999,23.930000,23.049999,23.580000,23.580000,7219100
2021-12-10,23.879999,23.920000,23.110001,23.290001,23.290001,4791800
2021-12-13,22.990000,23.250000,22.570000,22.750000,22.750000,4327600
2021-12-14,22.650000,23.070000,22.450001,22.510000,22.510000,8522700
2021-12-15,22.410000,22.670000,21.660000,22.570000,22.570000,5858900
2021-12-16,22.850000,23.549999,22.719999,23.410000,23.410000,6682000
2021-12-17,23.500000,23.610001,22.590000,23.280001,23.280001,7107700
2021-12-20,22.860001,23.330000,22.450001,22.889999,22.889999,6087300
2021-12-21,22.980000,23.959999,22.850000,23.530001,23.530001,5283400
2021-12-22,23.469999,24.000000,23.059999,23.629999,23.629999,5086400
2021-12-23,23.780001,24.639999,23.719999,24.420000,24.420000,4741900
2021-12-27,24.440001,24.670000,23.959999,24.360001,24.360001,3340500
2021-12-28,24.270000,24.889999,24.129999,24.330000,24.330000,3572400
2021-12-29,24.280001,24.660000,23.750000,23.870001,23.870001,4990800
2021-12-30,23.860001,24.910000,23.770000,24.450001,24.450001,6283500
2021-12-31,24.389999,24.600000,23.520000,23.540001,23.540001,6716100
2022-01-03,23.900000,25.799999,23.840000,25.330000,25.330000,10231100
2022-01-04,25.770000,27.160000,25.639999,26.750000,26.750000,12074000
2022-01-05,27.129999,27.969999,26.379999,26.450001,26.450001,12532200
2022-01-06,26.590000,26.820000,25.620001,25.719999,25.719999,7197300
2022-01-07,27.650000,31.180000,27.260000,30.059999,30.059999,42891900
2022-01-10,30.170000,30.389999,28.270000,28.590000,28.590000,12117000
